target_concentration,modality,resultant_length,kappa,js_to_ground_truth,orientation_mae_deg
0.25,ground_truth,0.58585284,1.4526137,0,0
0.25,sem_like_gradient,0.79393716,2.7903148,0.14347833,20.846974
0.25,polarization_like_map,0.47354136,1.0731133,0.065828026,10.509
0.25,segmented_mask,0.33919154,0.72114885,0.15708888,33.837062
0.4,ground_truth,0.60285335,1.5206896,0,0
0.4,sem_like_gradient,0.7977129,2.8345126,0.13991389,20.971232
0.4,polarization_like_map,0.49580821,1.1384671,0.063926296,10.354559
0.4,segmented_mask,0.30294262,0.63581384,0.12895884,31.971588
0.55,ground_truth,0.59778538,1.5000026,0,0
0.55,sem_like_gradient,0.80733351,2.9540296,0.16482477,21.139976
0.55,polarization_like_map,0.49323638,1.1307957,0.062903826,9.8850468
0.55,segmented_mask,0.28407086,0.5926067,0.15921288,34.685687
0.7,ground_truth,0.57272128,1.4024514,0,0
0.7,sem_like_gradient,0.81685513,3.0832967,0.20336439,22.560801
0.7,polarization_like_map,0.47788458,1.0856753,0.062447695,9.2525376
0.7,segmented_mask,0.25457635,0.52654263,0.1336904,34.019831
0.85,ground_truth,0.65131484,1.7385318,0,0
0.85,sem_like_gradient,0.83407084,3.3508258,0.16161779,20.68287
0.85,polarization_like_map,0.55591117,1.3409913,0.059213416,9.3179398
0.85,segmented_mask,0.36604512,0.78661262,0.18547024,36.25286
0.95,ground_truth,0.65549583,1.7593099,0,0
0.95,sem_like_gradient,0.82922296,3.2705228,0.17837281,20.798145
0.95,polarization_like_map,0.56578911,1.3767491,0.059360918,9.0631165
0.95,segmented_mask,0.25136998,0.51945958,0.14551269,31.792453
