row_type,force_noise,n_load_cases,parameter,relative_error_percent,mean_abs_relative_error_percent,max_abs_relative_error_percent,condition_number,residual_norm
summary,0.0,2,,,32.72325863641288,77.75208930926576,5580038778446444.0,4.050998921928317e-15
parameter,0.0,2,matrix_base,-6.528474281377426,,,5580038778446444.0,4.050998921928317e-15
parameter,0.0,2,matrix_density_gain,10.192917994395323,,,5580038778446444.0,4.050998921928317e-15
parameter,0.0,2,fiber_scale,-36.41955296061301,,,5580038778446444.0,4.050998921928317e-15
parameter,0.0,2,connectivity_scale,77.75208930926576,,,5580038778446444.0,4.050998921928317e-15
summary,0.0,3,,,2.186163590146321e-10,5.687590081444277e-10,16591.792208188526,3.314705948155188e-15
parameter,0.0,3,matrix_base,-1.545430450278218e-11,,,16591.792208188526,3.314705948155188e-15
parameter,0.0,3,matrix_density_gain,2.3803181647963356e-11,,,16591.792208188526,3.314705948155188e-15
parameter,0.0,3,fiber_scale,2.664489417633552e-10,,,16591.792208188526,3.314705948155188e-15
parameter,0.0,3,connectivity_scale,-5.687590081444277e-10,,,16591.792208188526,3.314705948155188e-15
summary,0.0,4,,,1.4643486741781454e-10,3.298102531819798e-10,17726.8944387276,5.216995650115787e-15
parameter,0.0,4,matrix_base,-2.0781401291161375e-10,,,17726.8944387276,5.216995650115787e-15
parameter,0.0,4,matrix_density_gain,3.298102531819798e-10,,,17726.8944387276,5.216995650115787e-15
parameter,0.0,4,fiber_scale,1.514602063839594e-11,,,17726.8944387276,5.216995650115787e-15
parameter,0.0,4,connectivity_scale,-3.296918293926865e-11,,,17726.8944387276,5.216995650115787e-15
summary,0.0,6,,,1.7564881107887408e-10,3.2950911840349105e-10,12662.576000391615,4.403278156482319e-15
parameter,0.0,6,matrix_base,-8.443616176615858e-11,,,12662.576000391615,4.403278156482319e-15
parameter,0.0,6,matrix_density_gain,1.3429257705865894e-10,,,12662.576000391615,4.403278156482319e-15
parameter,0.0,6,fiber_scale,1.543573870871877e-10,,,12662.576000391615,4.403278156482319e-15
parameter,0.0,6,connectivity_scale,-3.2950911840349105e-10,,,12662.576000391615,4.403278156482319e-15
summary,0.01,2,,,120.10938020705811,217.27494858720678,10507719.101015273,0.004293807384994342
parameter,0.01,2,matrix_base,63.162572241025714,,,10507719.101015273,0.004293807384994342
parameter,0.01,2,matrix_density_gain,-99.99999999999996,,,10507719.101015273,0.004293807384994342
parameter,0.01,2,fiber_scale,-100.0,,,10507719.101015273,0.004293807384994342
parameter,0.01,2,connectivity_scale,217.27494858720678,,,10507719.101015273,0.004293807384994342
summary,0.01,3,,,120.08941214832953,217.87393702623817,16540.045333153266,0.0038706908844452544
parameter,0.01,3,matrix_base,62.48371195069865,,,16540.045333153266,0.0038706908844452544
parameter,0.01,3,matrix_density_gain,-99.99999961666886,,,16540.045333153266,0.0038706908844452544
parameter,0.01,3,fiber_scale,-99.9999999997125,,,16540.045333153266,0.0038706908844452544
parameter,0.01,3,connectivity_scale,217.87393702623817,,,16540.045333153266,0.0038706908844452544
summary,0.01,4,,,119.39323452629976,216.21324109582554,17680.500700151133,0.010963857837357312
