output,parameter,S1,ST
peak_stress,matrix_modulus,0.15139078177788512,0.21524609939740272
peak_stress,fibre_gain,0.08648133003655158,0.12880067543235094
peak_stress,fibre_fraction,0.06845139938474658,0.1799331327188484
peak_stress,orientation_deg,0.16689118234581962,0.2836930901045622
peak_stress,concentration,-0.004617638050428154,0.05458699957420103
peak_stress,connectivity,0.07385343721401318,0.1358126790573809
peak_stress,load_scale,0.10655851243348838,0.16376634449452704
peak_stress,boundary_compliance,0.002272174617383451,0.007119522305098435
strain_energy,matrix_modulus,0.10508349176841619,0.1534079376460314
strain_energy,fibre_gain,0.04698971567687508,0.08569477423811873
strain_energy,fibre_fraction,0.12953849066944945,0.13828858327400548
strain_energy,orientation_deg,0.1551347437893174,0.19647986809708662
strain_energy,concentration,0.051576123363175845,0.036242244768273126
strain_energy,connectivity,0.06674719052476784,0.10082283640284952
strain_energy,load_scale,0.26582829528129487,0.42795085720080567
strain_energy,boundary_compliance,0.0035380185147722335,0.016850229387514466
