step,growth_std,elastic_std,stress_std,strain_design_condition_number,residual_norm
0,0.005136340813,0.001547046763,0.1342853363,1.756844315,1.12842918e-14
1,0.005124419002,0.001542542903,0.1339009971,1.753793956,1.213408432e-14
2,0.005111402416,0.001537489919,0.1334631872,1.750734557,1.162448503e-14
3,0.005097523582,0.001531997,0.132982412,1.747669537,1.139293713e-14
4,0.005082972527,0.00152615389,0.1324673059,1.744601846,1.185794407e-14
5,0.005067904605,0.001520034315,0.1319249626,1.741534047,1.168391564e-14
6,0.005052446835,0.001513698811,0.1313612076,1.738468373,1.209732016e-14
7,0.005036703051,0.001507197064,0.1307808228,1.735406773,1.18044991e-14
8,0.005020758098,0.001500569825,0.1301877314,1.732350951,1.194590907e-14
9,0.005004681249,0.0014938505,0.1295851507,1.729302395,1.259478826e-14
10,0.004988529005,0.001487066455,0.1289757167,1.726262406,1.173892202e-14
11,0.00497234738,0.001480240086,0.1283615881,1.723232121,1.235673926e-14
12,0.004956173781,0.001473389706,0.1277445308,1.72021253,1.16858776e-14
13,0.00494003854,0.001466530274,0.1271259879,1.717204496,1.240227075e-14
14,0.004923966183,0.001459673985,0.1265071373,1.714208774,1.221962719e-14
15,0.004907976458,0.001452830771,0.1258889387,1.711226016,1.204489243e-14
16,0.004892085194,0.0014460087,0.1252721725,1.708256795,1.169817532e-14
