step,lambda_pde,u_mae,strain_mae,pde_residual_rms,traction_error
0,0.0001,0.0010112744940142086,0.0069277217539304315,0.08703881596627057,6.907306755038478e-06
1,0.00018233480008684403,0.0009575904271637208,0.007158957301720197,0.08613611035092578,7.796019823175238e-06
2,0.00033245979322709415,0.0008999240392845457,0.007288588775816526,0.08562736648551614,7.874729314488738e-06
3,0.0006061898993497572,0.0008787120711766998,0.007375186299366267,0.08524740588944693,6.0136129312327036e-06
4,0.0011052951411260222,0.000894523520451008,0.007462972520129125,0.08483566399662838,7.866469368678075e-07
5,0.002015337685941733,0.0010239117685349767,0.007595900517329691,0.08430143454355643,2.0706717959007026e-05
6,0.003674661940736688,0.0015119160898964864,0.007825622550496234,0.08362625271011,7.444482670601604e-05
7,0.006700187503509591,0.00234213077058244,0.008203980060269579,0.08287694533148486,0.00020824678758393778
8,0.012216773489967919,0.0032837627252610773,0.008770403044552972,0.08215678009149709,0.0005118536821593356
9,0.022275429519995563,0.004241914439298833,0.009581120869992141,0.08148404752251302,0.0011413600157059445
10,0.0406158598837698,0.005202390751383917,0.010824584310521764,0.080721835854097,0.0023575975323950338
11,0.07405684692262435,0.006284496024900104,0.012818884151673926,0.0796014246925533,0.00459770733894746
12,0.13503140378698722,0.007745295683301533,0.016177256356436808,0.07773615686411126,0.0085828394968685
13,0.24620924014946255,0.009970226733192105,0.0214635361055062,0.0745894842769176,0.015423503501885039
14,0.4489251258218603,0.013446060243304322,0.029803000372816184,0.06948261126456524,0.026589798211348797
15,0.8185467307069029,0.018619412924360878,0.042258527366323954,0.06179178025614968,0.043465205716330946
16,1.4924955450518291,0.025569443297750533,0.05900634756324754,0.051440346399912996,0.06624858499632727
17,2.7213387683753085,0.033640968199479614,0.07846417358338684,0.03942750505643024,0.09275670799716235
18,4.961947603002898,0.0415518733314239,0.09753678848344025,0.027667075972089866,0.11875382744870042
19,9.047357242349293,0.04811002705866401,0.11334580169107994,0.017926686787640783,0.14030704485258433
20,16.496480740980207,0.05282947220701597,0.12472217791560357,0.01092003184392287,0.15581856381139203
21,30.078825180430957,0.055890280339748605,0.13210027063761257,0.0063765737572563826,0.1658790277008667
22,54.84416576121015,0.05774338473184547,0.13656714912760345,0.003625977687032948,0.17197007509706627
23,100.0,0.05881885829154156,0.139159546616904,0.0020296551860759346,0.1755051429563184
