n,mean,q05,q95
32,4.666176473389672,2.5744097175997753,9.04732824344816
42,4.553813613836253,2.560075336190405,8.930565295474821
56,4.616242184700844,2.5801434701635237,8.373623015221987
75,4.572582369637704,2.4156834848049518,8.413404606668616
100,4.587289771839897,2.37397021802324,8.214496649435459
133,4.605731692013012,2.2566713106952947,8.505599915634981
177,4.724844514526679,2.2398300932035227,9.297357433072781
235,4.75320487621943,2.2801402781733544,9.275130825949306
313,4.6650305743673375,2.24993538213121,9.24096257306846
417,4.722487275571546,2.242604197328704,9.52378614839613
555,4.791603958868049,2.2425143140952297,9.331952391526267
738,4.799006475615523,2.2510984803972844,9.156017095454196
983,4.746630963835563,2.3010806894347233,8.941793738828586
1307,4.704537413323468,2.2985343114599783,8.875694392988008
1739,4.728035884819142,2.3257863545290394,8.857856008443141
2314,4.745645968991323,2.337000075757683,8.835072800489906
3078,4.7265358391643435,2.321849916960886,8.624907913960987
4096,4.753138631466867,2.347107602242742,8.7257031909234
